-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
26.5,26.5,2024,9,15.59
26.5,27.5,2024,9,15.54
26.5,28.5,2024,9,15.49
26.5,29.5,2024,9,14.73
26.5,30.5,2024,9,14.83
26.5,31.5,2024,9,13.56
26.5,32.5,2024,9,12.9
26.5,33.5,2024,9,13.16
27.5,26.5,2024,9,15.29
27.5,27.5,2024,9,15.46
27.5,28.5,2024,9,15.42
27.5,29.5,2024,9,15.59
27.5,30.5,2024,9,15.48
27.5,31.5,2024,9,14.45
27.5,32.5,2024,9,13.52
27.5,33.5,2024,9,12.88
28.5,26.5,2024,9,14.89
28.5,27.5,2024,9,14.97
28.5,28.5,2024,9,14.94
28.5,29.5,2024,9,14.78
28.5,30.5,2024,9,15.04
28.5,31.5,2024,9,14.59
28.5,32.5,2024,9,14.01
28.5,33.5,2024,9,12.7
29.5,26.5,2024,9,14.16
29.5,27.5,2024,9,14.29
29.5,28.5,2024,9,14.4
29.5,29.5,2024,9,14.57
29.5,30.5,2024,9,14.33
29.5,31.5,2024,9,14.2
29.5,32.5,2024,9,14.35
29.5,33.5,2024,9,14.29
30.5,26.5,2024,9,12.67
30.5,27.5,2024,9,13.62
30.5,28.5,2024,9,13.6
30.5,29.5,2024,9,13.71
30.5,30.5,2024,9,13.56
30.5,31.5,2024,9,13.69
30.5,32.5,2024,9,13.22
30.5,33.5,2024,9,13.72
31.5,26.5,2024,9,11.78
31.5,27.5,2024,9,12.1
31.5,28.5,2024,9,12.06
31.5,29.5,2024,9,12.57
31.5,30.5,2024,9,12.55
31.5,31.5,2024,9,12.39
31.5,32.5,2024,9,12.41
31.5,33.5,2024,9,11.96
23.5,26.5,2024,10,17.65
23.5,27.5,2024,10,17.49
23.5,28.5,2024,10,17.41
23.5,29.5,2024,10,17.34
23.5,30.5,2024,10,17.35
23.5,31.5,2024,10,17.29
23.5,32.5,2024,10,16.82
23.5,33.5,2024,10,15.39
24.5,26.5,2024,10,17.42
24.5,27.5,2024,10,17.13
24.5,28.5,2024,10,16.98
24.5,29.5,2024,10,16.98
24.5,30.5,2024,10,16.92
24.5,31.5,2024,10,16.96
24.5,32.5,2024,10,16.63
24.5,33.5,2024,10,16.0
25.5,26.5,2024,10,16.38
25.5,27.5,2024,10,16.52
